Title,Author,Cost,Publisher,Fiction/Nonfiction,Summary
The Aosawa Murders,By Riku Onda.Translated by Alison Watts. ,14.95,. Paperback. Bitter Lemon.,Fiction.,"Onda’s strange, engrossing novel — patched together from scraps of interviews, letters, newspaper articles and the like — explores the sweltering day that 17 members of the Aosawa family died after drinking poisoned sake and soda."
The Beauty in Breaking: A Memoir,By Michele Harper.,27,. Riverhead.,Nonfiction.,"When Harper was a teenager, she drove her brother to the hospital to get treated for a bite her father had inflicted. There, she glimpsed a world she wanted to join. “The Beauty in Breaking” is her memoir of becoming an emergency room physician. It’s also a profound statement on the inequities in medical care today."
The Beauty of Your Face,By Sahar Mustafah.,26.95,. Norton.,Fiction.,"In the Chicago suburbs, a gunman opens fire at a school for Palestinian girls. Mustafah rewinds from the shooting to the principal’s childhood as a newly arrived immigrant. Hers is a story of outsiders coming together in surprising and uplifting ways."
"Becoming Wild: How Animal Cultures Raise Families, Create Beauty, and Achieve Peace",By Carl Safina.,29.99,. Holt.,Nonfiction.,"Safina, the ecologist and author of many books about animal behavior, here delves into the world of chimpanzees, sperm whales and macaws to make a convincing argument that animals learn from one another and pass down culture in a way that will feel very familiar to us."
Beheld,By TaraShea Nesbit.,26,. Bloomsbury.,Fiction.,"In this plain-spoken and lovingly detailed historical novel, the story of the Mayflower Pilgrims and Plymouth Colony is refracted through the prism of female characters. Despite the novel’s quietness of telling, its currency is the human capacity for cruelty and subjugation, of pretty much everyone by pretty much everyone."
"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",By Maria Konnikova.,28,. Penguin Press.,Nonfiction.,"Konnikova, a writer for The New Yorker with a Ph.D. in psychology, decided to study poker for its interplay between luck and determination. This is an account of her journey, which took her much further into the world of high-stakes gambling than she ever imagined."
"Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East",By Kim Ghattas.,30,. Holt.,Nonfiction.,"A Lebanese-born journalist and scholar takes a sweeping look at the unrest in the Middle East, arguing that much of it is the result of the competition between Saudi Arabia and Iran."
Blacktop Wasteland,By S. A. Cosby.,26.99,. Flatiron.,Fiction.,"In this gritty thriller, set in rural Virginia, Beauregard “Bug” Montage — the owner of a struggling auto shop — is drifting back into his old life of crime. Cosby has a talent for well-tuned action, raising our heart rates and filling our nostrils with odors of gun smoke and burned rubber."
The Book of Eels: Our Enduring Fascination With the Most Mysterious Creature in the Natural World,By Patrik Svensson.,28.99,. Ecco.,Nonfiction.,"Svensson follows those slithery beings in every direction they take him, producing a book that moves from Aristotle to Freud to the fishing trips of his youth."
The Boy In The Field,By Margot Livesey.,26.99,. HarperCollins.,Fiction.,"In Livesey’s exquisite new novel, three siblings on their way home from school find a boy who has been attacked and left for dead in a field. This discovery leads to a mystery that will change the lives of all involved."
Breasts and Eggs,By Mieko Kawakami.Translated by Sam Bett and David Boyd. ,27,. Europa.,Fiction.,"In supple and casual prose, this celebrated Japanese novelist follows sisters in Osaka who are considering breast augmentation and sperm donation, causing two generations of women to reckon with the realities of their physical bodies and the pressures put on them by society."
A Burning,By Megha Majumdar.,25.95,. Knopf.,Fiction.,"A brazen act of terrorism in an Indian metropolis sets the plot of this propulsive debut novel in motion, and lands an innocent young bystander in jail. With impressive assurance and insight, Majumdar unfolds a timely story about the ways power is wielded to manipulate and crush the powerless."
"Burning Down the House: Newt Gingrich, the Fall of a Speaker, and the Rise of the New Republican Party",By Julian E. Zelizer.,30,. Penguin Press.,Nonfiction.,"As Zelizer recounts, Gingrich brought a new slash-and-burn style to Congress in the late 1980s that disrupted old ways and led to repeated Republican successes."
Caste: The Origins of our Discontents,By Isabel Wilkerson.,32,. Random House.,Nonfiction.,"The Pulitzer-winning author advances a sweeping argument for regarding American racial bias through the lens of caste. Drawing analogies with the social orders of modern India and Nazi Germany, she frames barriers to equality in a provocative new light."
A Children's Bible,By Lydia Millet.,25.95,. Norton.,Fiction.,"This superb novel begins as a generational comedy — a pack of kids and their middle-aged parents coexist in a summer share — and turns steadily darker, as climate collapse and societal breakdown encroach. But Millet’s light touch never falters; in this time of great upheaval, she implies, our foundational myths take on new meaning and hope."
Cleanness,By Garth Greenwell.,26,". Farrar, Straus & Giroux.",Fiction.,"Greenwell’s narrator is a gay American teacher in Sofia, Bulgaria, who has a series of encounters that are sexually frank and psychologically complicated; the book achieves an unusual depth of accuracy about both physical activity and emotional undercurrent."
Deacon King Kong,By James McBride.,28,. Riverhead.,Fiction.,"At the center of this raucous novel by the National Book Award-winning author of “The Good Lord Bird” are a hard-drinking church deacon and a sudden, inexplicable act of violence. But that’s just one strand of McBride’s tour de force, a book resounding with madcap characters and sly commentary on race, crime and inequality."
