id, title, author, rating, cover 
1,The Vanishing Half,Brit Bennett, 4.21 avg rating — 477379 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577090827l/51791252._SX50_SY75_.jpg
2,Writers & Lovers,Lily King, 4.07 avg rating — 82349 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580228175i/45289222._SX50_.jpg
3,A Promised Land,Barack Obama, 4.37 avg rating — 144467 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600357110i/55361205._SY75_.jpg
4,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker, 4.13 avg rating — 80026 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569289026l/50088631._SX50_SY75_.jpg
5,Hamnet,Maggie O'Farrell, 4.27 avg rating — 112305 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574943819i/43890641._SY75_.jpg
6,How Much of These Hills Is Gold,C Pam Zhang, 3.83 avg rating — 16331 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566270729i/45895362._SY75_.jpg
7,Luster,Raven Leilani, 3.60 avg rating — 56447 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596654079i/54827144._SX50_.jpg
8,Breasts and Eggs,Mieko Kawakami, 3.84 avg rating — 14650 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573825173l/50736031._SX50_SY75_.jpg
9,A Burning,Megha Majumdar, 3.75 avg rating — 37823 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573553946l/46250106._SX50_SY75_.jpg
10,Saint X,Alexis Schaitkin, 3.46 avg rating — 15186 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573874118i/43782399._SY75_.jpg
11,Caste: The Origins of Our Discontents,Isabel Wilkerson, 4.55 avg rating — 89598 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597267568i/51152447._SY75_.jpg
12,Cleanness,Garth Greenwell, 3.83 avg rating — 5946 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563756741i/45892271._SY75_.jpg
13,Deacon King Kong,James McBride, 4.20 avg rating — 45511 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570443527i/51045613._SX50_.jpg
14,Homeland Elegies,Ayad Akhtar, 4.19 avg rating — 17110 ratings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584627596i/50358133._SY75_.jpg
